ms_since_start,bytes
2.869,8192
2.875,8192
2.879,1947
14794.191,8192
14794.196,8192
14794.200,8192
14794.203,8192
14794.205,3712
14797.387,8192
14797.394,8192
14797.398,8192
14797.401,8192
14797.404,4389
14800.847,8192
14800.853,8192
14800.856,1379
14804.053,8192
14804.059,8192
14804.062,8192
14804.064,8192
14804.067,4026
14954.413,8192
14954.422,8192
14954.427,8192
14954.430,8192
14954.435,5264
14958.711,8192
14958.717,8192
14958.722,8192
14958.726,8192
14958.730,2202
14962.151,8192
14962.156,8192
14962.161,1154
14966.235,8192
14966.242,8192
14966.246,8192
14966.249,8192
14966.253,8192
14966.261,506
14970.350,8192
14970.356,8192
14970.360,8192
14970.363,2103
14973.756,8192
14973.761,8192
14973.764,8192
14973.767,8192
14973.770,1923
14976.920,8192
14976.932,8192
14976.935,3117
14980.133,8192
14980.143,8192
14980.147,8192
14980.149,8192
14980.154,8192
14980.158,1086
14983.648,8192
14983.660,8192
14983.663,8192
14983.666,8192
14983.669,2205
14986.843,8192
14986.853,8192
14986.858,8192
14986.861,8192
14986.864,6728
14989.882,8192
14989.888,8192
14989.891,8192
14989.896,8192
14989.900,3908
14992.266,8192
14992.269,8192
14992.273,2278
14994.949,8192
14994.956,8192
14994.966,8192
14994.970,8192
14994.975,196
14997.800,8192
14997.805,8192
14997.816,8192
14997.819,8192
14997.823,1202
15002.094,8192
15002.108,8192
15002.111,8192
15002.114,8192
15002.116,8192
15002.123,550
15004.776,8192
15004.782,8192
15004.790,7735
15006.885,8192
15006.893,8192
15006.895,8192
15006.899,8192
15006.901,5159
15009.470,8192
15009.474,8192
15009.477,8192
15009.486,8192
15009.489,1780
15012.068,8192
15012.074,8192
15012.076,3686
15013.859,8192
15013.862,8192
15013.867,8192
15013.869,7793
15016.265,8192
15016.269,8192
15016.271,8192
15016.274,7748
15019.098,8192
15019.102,8192
15019.109,8192
15019.111,8192
15019.115,2717
15021.294,8192
15021.296,8192
15021.300,8192
15021.303,8192
15021.306,3690
15023.834,8192
15023.841,8192
15023.844,8192
15023.846,8192
15023.850,8192
15023.853,325
