ms_since_start,bytes
4.102,8192
4.106,8192
4.112,8192
4.114,8192
4.118,7631
6.353,8192
6.357,8192
6.361,8192
6.364,8192
6.367,958
9.657,8192
9.661,8192
9.666,8192
9.670,8192
9.673,6237
12.069,8192
12.072,8192
12.076,8192
12.079,4574
14.392,8192
14.395,8192
14.397,2458
17.564,8192
17.574,8192
17.578,8192
17.585,8192
17.609,5471
20.212,8192
20.216,8192
20.234,8192
20.236,8192
20.238,5750
22.347,8192
22.356,8192
22.358,8192
22.361,7476
25.205,8192
25.210,8192
25.217,8192
25.220,8192
25.223,2287
27.559,8192
27.572,8192
27.575,8192
27.578,2622
30.022,8192
30.026,8192
30.029,8192
30.033,8192
30.037,5342
32.128,8192
32.133,8192
32.135,1020
34.415,8192
34.418,8192
34.423,8192
34.428,8192
34.430,6951
36.799,8192
36.802,8192
36.804,8192
36.806,8192
36.808,5527
37.442,8192
37.446,92
